start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
59.36421723356009,59.59641678004535,39,47,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
58.71405850340136,59.03913786848073,54,54,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
58.42380907029479,58.71405850340136,54,54,0,1,1,2,2,1,1,1,0,0,0,0,0,-4,-4,-4,-4,-3,-3,1,1,1,1,1,1
58.168389569161,58.42380907029479,54,58,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
57.22669750566893,57.48211700680272,62,50,2,2,2,2,2,-1,-3,-3,0,1,1,1,1,2,2,2,2,2,2,2,2,2
56.704248526077095,56.89000816326531,57,33,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
54.25325941043084,54.45062902494331,42,34,0,0,0,0,0,0,0,-2,-2,-2,-2,1,1,1,1,1,1
52.940048072562355,53.09097777777778,42,60,2,2,1,1,1,1,1,1,1,1,1,1,2
52.63818866213152,52.88199818594104,66,44,1,1,1,1,1,2,-7,-7,-7,-7,-7,-3,-1,1,1,2,2,2,1,1,-4
51.732610430839,51.92998004535147,73,71,0,0,0,1,1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1
51.290147392290244,51.70939047619048,68,66,-2,0,1,1,1,1,1,1,1,0,0,-1,-1,-1,-1,0,1,1,1,2,2,2,2,0,0,0,1,1,1,-4,-4,1,1,1,2,2,2
51.06955782312925,51.290147392290244,67,92,-1,0,0,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
48.9320380952381,49.233897505668935,68,59,-1,-1,0,0,2,3,3,2,2,2,2,2,1,0,0,0,0,0,1,2,2,2,2,2,2,2
48.734668480725624,48.9320380952381,68,81,-1,0,0,1,1,1,2,2,2,2,2,2,1,0,-1,-1,-1
48.18899954648526,48.363149206349206,73,89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47.17764761904762,47.316967346938775,40,44,1,1,2,2,2,2,2,1,1,1,1,2
44.807928344671204,44.99368798185941,43,29,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,1,1,1,1
44.51767891156463,44.73826848072562,44,78,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2
44.34352925170068,44.51767891156463,44,84,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
44.320309297052155,44.55250884353742,72,44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43.80947029478458,43.995229931972794,40,34,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0
42.19439954648526,42.34532925170068,44,62,1,1,1,1,1,1,1,1,1,1,1,1,1
42.182789569160995,42.32210929705215,72,40,1,1,1,1,1,1,1,1,1,1,1,1
41.8693201814059,42.066689795918364,56,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
